planner,scenario,instance,parameter,value,metric,result
Modified,normal_city,8,turn_threshold,0.35,success,1.0
Modified,normal_city,9,turn_threshold,0.35,success,1.0
Modified,normal_city,10,turn_threshold,0.35,success,1.0
Modified,normal_city,11,turn_threshold,0.35,success,1.0
Modified,normal_city,12,turn_threshold,0.35,success,1.0
Modified,normal_city,13,turn_threshold,0.35,success,1.0
Modified,normal_city,14,turn_threshold,0.35,success,1.0
Modified,normal_city,15,turn_threshold,0.35,success,1.0
Modified,normal_city,16,turn_threshold,0.35,success,1.0
Modified,normal_city,17,turn_threshold,0.35,success,1.0
Modified,normal_city,18,turn_threshold,0.35,success,1.0
Modified,normal_city,19,turn_threshold,0.35,success,1.0
Modified,normal_city,20,turn_threshold,0.35,success,1.0
Modified,normal_city,21,turn_threshold,0.35,success,1.0
Modified,normal_city,22,turn_threshold,0.35,success,1.0
Modified,normal_city,23,turn_threshold,0.35,success,1.0
Modified,normal_city,24,turn_threshold,0.35,success,1.0
Modified,normal_city,25,turn_threshold,0.35,success,1.0
Modified,normal_city,26,turn_threshold,0.35,success,1.0
Modified,normal_city,27,turn_threshold,0.35,success,1.0
Modified,normal_city,28,turn_threshold,0.35,success,1.0
Modified,normal_city,29,turn_threshold,0.35,success,1.0
Modified,blocked_road,0,turn_threshold,0.35,success,1.0
Modified,blocked_road,1,turn_threshold,0.35,success,1.0
Modified,blocked_road,2,turn_threshold,0.35,success,1.0
Modified,blocked_road,3,turn_threshold,0.35,success,1.0
Modified,blocked_road,4,turn_threshold,0.35,success,1.0
Modified,blocked_road,5,turn_threshold,0.35,success,1.0
Modified,blocked_road,6,turn_threshold,0.35,success,1.0
Modified,blocked_road,7,turn_threshold,0.35,success,1.0
Modified,blocked_road,8,turn_threshold,0.35,success,1.0
Modified,blocked_road,9,turn_threshold,0.35,success,1.0
Modified,blocked_road,10,turn_threshold,0.35,success,1.0
Modified,blocked_road,11,turn_threshold,0.35,success,1.0
Modified,blocked_road,12,turn_threshold,0.35,success,1.0
Modified,blocked_road,13,turn_threshold,0.35,success,1.0
Modified,blocked_road,14,turn_threshold,0.35,success,1.0
Modified,blocked_road,15,turn_threshold,0.35,success,1.0
