planner,scenario,instance,parameter,value,metric,result
Modified,normal_city,18,max_escapes,6,path_length,149.044
Modified,normal_city,19,max_escapes,6,path_length,154.539
Modified,normal_city,20,max_escapes,6,path_length,152.431
Modified,normal_city,21,max_escapes,6,path_length,154.495
Modified,normal_city,22,max_escapes,6,path_length,161.174
Modified,normal_city,23,max_escapes,6,path_length,151.076
Modified,normal_city,24,max_escapes,6,path_length,153.04
Modified,normal_city,25,max_escapes,6,path_length,155.35
Modified,normal_city,26,max_escapes,6,path_length,146.316
Modified,normal_city,27,max_escapes,6,path_length,160.81
Modified,normal_city,28,max_escapes,6,path_length,156.828
Modified,normal_city,29,max_escapes,6,path_length,148.722
Modified,blocked_road,0,max_escapes,6,path_length,200.596
Modified,blocked_road,1,max_escapes,6,path_length,207.092
Modified,blocked_road,2,max_escapes,6,path_length,183.573
Modified,blocked_road,3,max_escapes,6,path_length,162.228
Modified,blocked_road,4,max_escapes,6,path_length,299.831
Modified,blocked_road,5,max_escapes,6,path_length,212.464
Modified,blocked_road,6,max_escapes,6,path_length,167.294
Modified,blocked_road,7,max_escapes,6,path_length,160.752
Modified,blocked_road,8,max_escapes,6,path_length,172.23
Modified,blocked_road,9,max_escapes,6,path_length,163.909
Modified,blocked_road,10,max_escapes,6,path_length,188.185
Modified,blocked_road,11,max_escapes,6,path_length,185.832
Modified,blocked_road,12,max_escapes,6,path_length,205.64
Modified,blocked_road,13,max_escapes,6,path_length,167.364
Modified,blocked_road,14,max_escapes,6,path_length,202.123
Modified,blocked_road,15,max_escapes,6,path_length,205.189
Modified,blocked_road,16,max_escapes,6,path_length,200.612
Modified,blocked_road,17,max_escapes,6,path_length,157.145
Modified,blocked_road,18,max_escapes,6,path_length,160.517
Modified,blocked_road,19,max_escapes,6,path_length,198.783
Modified,blocked_road,20,max_escapes,6,path_length,196.862
Modified,blocked_road,21,max_escapes,6,path_length,165.136
Modified,blocked_road,22,max_escapes,6,path_length,153.581
Modified,blocked_road,23,max_escapes,6,path_length,146.766
Modified,blocked_road,24,max_escapes,6,path_length,158.0
Modified,blocked_road,25,max_escapes,6,path_length,156.388
Modified,blocked_road,26,max_escapes,6,path_length,165.429
Modified,blocked_road,27,max_escapes,6,path_length,163.08
Modified,blocked_road,28,max_escapes,6,path_length,163.782
Modified,blocked_road,29,max_escapes,6,path_length,152.785
Modified,dense_city,0,max_escapes,6,path_length,168.475
Modified,dense_city,1,max_escapes,6,path_length,158.972
Modified,dense_city,2,max_escapes,6,path_length,206.999
Modified,dense_city,3,max_escapes,6,path_length,162.238
Modified,dense_city,4,max_escapes,6,path_length,159.764
Modified,dense_city,5,max_escapes,6,path_length,161.497
Modified,dense_city,6,max_escapes,6,path_length,179.38
Modified,dense_city,7,max_escapes,6,path_length,197.399
Modified,dense_city,8,max_escapes,6,path_length,156.145
Modified,dense_city,9,max_escapes,6,path_length,
Modified,dense_city,10,max_escapes,6,path_length,154.2
Modified,dense_city,11,max_escapes,6,path_length,158.873
Modified,dense_city,12,max_escapes,6,path_length,162.728
Modified,dense_city,13,max_escapes,6,path_length,157.784
Modified,dense_city,14,max_escapes,6,path_length,176.809
Modified,dense_city,15,max_escapes,6,path_length,256.233
Modified,dense_city,16,max_escapes,6,path_length,154.747
Modified,dense_city,17,max_escapes,6,path_length,184.606
Modified,dense_city,18,max_escapes,6,path_length,164.685
Modified,dense_city,19,max_escapes,6,path_length,159.852
Modified,dense_city,20,max_escapes,6,path_length,151.249
Modified,dense_city,21,max_escapes,6,path_length,155.037
Modified,dense_city,22,max_escapes,6,path_length,154.397
