instance,speed_factor,driver,success,reached,collided,steps,replans,comp_time,collision_checks,path_length
5,0.5,Modified replan,0,1,1,115,8,0.06907,1739,80.5
5,1.0,APF reactive,1,1,0,119,0,0.0129,357,83.3
5,1.0,RRT* plan once,1,1,0,117,0,0.04018,6582,81.9
5,1.0,RRT* replan,1,1,0,128,1,0.08499,14473,89.6
5,1.0,Modified plan once,0,0,1,54,0,0.01252,342,37.8
5,1.0,Modified replan,1,1,0,127,6,0.10772,5839,88.9
5,1.5,APF reactive,0,0,1,51,0,0.00663,153,35.7
5,1.5,RRT* plan once,0,0,1,47,0,0.03978,6582,32.9
5,1.5,RRT* replan,0,0,1,90,24,1.06647,151141,63.0
5,1.5,Modified plan once,0,0,1,49,0,0.01219,342,34.3
5,1.5,Modified replan,0,0,1,52,7,0.60978,52309,36.4
6,0.5,APF reactive,0,0,1,81,0,0.00943,243,56.7
6,0.5,RRT* plan once,1,1,0,123,0,0.05016,7816,86.1
6,0.5,RRT* replan,1,1,0,141,3,0.15803,25992,98.7
6,0.5,Modified plan once,0,0,1,47,0,0.0168,415,32.9
6,0.5,Modified replan,1,1,0,131,5,0.1003,6158,91.7
6,1.0,APF reactive,0,0,1,51,0,0.00633,153,35.7
6,1.0,RRT* plan once,1,1,0,123,0,0.0499,7816,86.1
6,1.0,RRT* replan,1,1,0,131,4,0.16648,27841,91.7
6,1.0,Modified plan once,0,0,1,51,0,0.01665,415,35.7
6,1.0,Modified replan,0,1,1,115,7,0.10667,3192,80.5
6,1.5,APF reactive,1,1,0,115,0,0.01251,345,80.5
6,1.5,RRT* plan once,0,0,1,60,0,0.04999,7816,42.0
6,1.5,RRT* replan,0,0,1,84,24,0.9265,132444,58.8
6,1.5,Modified plan once,1,1,0,114,0,0.01682,415,79.8
6,1.5,Modified replan,1,1,0,114,6,0.05609,1441,79.8
7,0.5,APF reactive,1,1,0,115,0,0.01243,345,80.5
7,0.5,RRT* plan once,0,0,1,54,0,0.03885,6401,37.8
7,0.5,RRT* replan,1,1,0,134,2,0.08703,14426,93.8
7,0.5,Modified plan once,0,0,1,67,0,0.0122,342,46.9
7,0.5,Modified replan,0,1,1,114,4,0.03917,1059,79.8
7,1.0,APF reactive,1,1,0,127,0,0.01367,381,88.9
7,1.0,RRT* plan once,1,1,0,128,0,0.04545,6401,89.6
7,1.0,RRT* replan,0,1,1,141,20,0.59164,98248,98.7
7,1.0,Modified plan once,0,0,1,51,0,0.01223,342,35.7
7,1.0,Modified replan,0,1,1,124,6,0.12063,6337,86.8
