scenario,algorithm,instance,repeat,success,path_length,astar_length,length_ratio,comp_time,smoothness,curvature,max_curvature,clearance_min,clearance_mean,total_turning,sharp_turns,radius_violated,drive_time_curved,switches,false_alarm,time_to_detection,collision_checks
dense_city,RRT*+Bezier,18,0,1,155.004,150.184,1.0321,1.32091,0.1379,0.0531,1.0916,1.546,2.927,8.2299,8,1,29.25,0,nan,nan,77287
dense_city,Hybrid,18,0,1,164.945,150.184,1.0983,6.29781,0.1268,0.1208,4.2123,1.594,2.559,19.9206,18,1,39.3968,1,nan,nan,337732
dense_city,Modified,18,0,1,164.685,150.184,1.0966,0.40874,0.0969,0.1165,3.9746,1.594,2.641,19.1837,15,1,37.968,1,nan,nan,21401
dense_city,Adaptive,18,0,1,167.393,150.184,1.1146,7.68917,0.1096,0.1069,4.0672,1.556,2.611,17.9018,15,1,38.0814,1,nan,nan,417028
dense_city,Bezier,18,0,1,169.439,150.184,1.1282,1.48753,0.0896,0.103,3.7662,1.594,2.565,17.4517,12,1,36.1501,1,nan,nan,81739
dense_city,BSpline,18,0,1,171.051,150.184,1.1389,2.11162,0.0567,0.0792,3.419,1.575,2.514,13.5483,10,1,34.6673,1,nan,nan,116330
dense_city,Dubins,18,0,1,166.952,150.184,1.1116,1.68366,0.0976,0.101,3.1678,1.594,2.709,16.8658,13,1,35.4592,1,nan,nan,94599
dense_city,APF,19,0,0,15.4,150.184,0.1025,0.01545,0.0115,0.0494,0.548,1.542,2.16,0.7606,1,1,2.8507,0,nan,nan,68
dense_city,RRT*,19,0,1,154.753,150.184,1.0304,8.20817,0.141,0.0515,1.281,1.866,3.167,7.9712,7,1,27.9261,0,nan,nan,454860
dense_city,RRT*+Bezier,19,0,1,154.753,150.184,1.0304,8.28871,0.141,0.0515,1.281,1.866,3.167,7.9712,7,1,27.9261,0,nan,nan,454888
dense_city,Hybrid,19,0,1,160.15,150.184,1.0664,1.60626,0.0749,0.0603,1.6236,1.542,2.521,9.6536,8,1,30.6417,1,nan,nan,88966
dense_city,Modified,19,0,1,159.852,150.184,1.0644,1.68127,0.0653,0.0693,2.2591,1.514,2.563,11.0829,7,1,30.9656,1,nan,nan,93837
dense_city,Adaptive,19,0,1,154.312,150.184,1.0275,1.25995,0.0931,0.0739,1.5559,1.542,2.551,11.4053,9,1,32.0952,1,nan,nan,69655
dense_city,Bezier,19,0,1,156.746,150.184,1.0437,1.02243,0.0703,0.0761,1.7502,1.542,2.546,11.9328,9,1,32.8439,1,nan,nan,56059
dense_city,BSpline,19,0,1,153.283,150.184,1.0206,3.36373,0.0595,0.083,1.6685,1.542,2.542,12.7201,7,1,29.1949,1,nan,nan,180297
dense_city,Dubins,19,0,1,155.621,150.184,1.0362,0.2832,0.0684,0.0636,1.5885,1.542,2.575,9.8912,9,1,30.7621,1,nan,nan,17419
dense_city,APF,20,0,0,15.4,145.497,0.1058,0.01428,0.0115,0.0494,0.548,1.542,2.16,0.7606,1,1,2.8507,0,nan,nan,68
dense_city,RRT*,20,0,1,146.439,145.497,1.0065,1.46552,0.1737,0.0783,1.134,2.128,3.132,11.4596,12,1,32.3205,0,nan,nan,77432
dense_city,RRT*+Bezier,20,0,1,146.439,145.497,1.0065,1.50771,0.1737,0.0783,1.134,2.128,3.132,11.4596,12,1,32.3205,0,nan,nan,77463
dense_city,Hybrid,20,0,1,154.998,145.497,1.0653,0.44051,0.1029,0.0834,1.0549,1.503,2.458,12.9316,13,1,34.2104,1,nan,nan,25940
dense_city,Modified,20,0,1,151.249,145.497,1.0395,2.18034,0.0932,0.1026,1.911,1.542,2.543,15.5126,13,1,34.8572,1,nan,nan,116391
dense_city,Adaptive,20,0,1,149.076,145.497,1.0246,3.97092,0.1043,0.0901,1.289,1.542,2.565,13.4297,10,1,32.7425,1,nan,nan,225990
dense_city,Bezier,20,0,1,151.381,145.497,1.0404,1.66607,0.0753,0.0829,1.5688,1.542,2.581,12.542,8,1,32.588,1,nan,nan,96261
dense_city,BSpline,20,0,1,151.508,145.497,1.0413,4.2303,0.0909,0.1018,1.9757,1.542,2.475,15.4188,14,1,35.9693,1,nan,nan,237382
dense_city,Dubins,20,0,1,149.677,145.497,1.0287,4.34601,0.0893,0.0863,1.6196,1.542,2.664,12.9116,11,1,32.8962,1,nan,nan,242769
dense_city,APF,21,0,0,15.4,147.255,0.1046,0.01406,0.0115,0.0494,0.548,1.542,2.16,0.7606,1,1,2.8507,0,nan,nan,68
dense_city,RRT*,21,0,1,155.166,147.255,1.0537,0.33445,0.1214,0.0442,1.2357,1.993,3.721,6.8632,6,1,26.4545,0,nan,nan,20834
dense_city,RRT*+Bezier,21,0,1,155.166,147.255,1.0537,0.35707,0.1214,0.0442,1.2357,1.993,3.721,6.8632,6,1,26.4545,0,nan,nan,20868
dense_city,Hybrid,21,0,1,160.17,147.255,1.0877,0.30438,0.0537,0.0411,1.2104,1.542,2.737,6.5755,5,1,27.4295,1,nan,nan,17739
dense_city,Modified,21,0,1,155.037,147.255,1.0528,1.01085,0.0625,0.0696,1.5462,1.542,2.743,10.7981,9,1,31.4041,1,nan,nan,60977
dense_city,Adaptive,21,0,1,156.947,147.255,1.0658,0.26007,0.081,0.0665,2.0984,1.542,2.894,10.432,8,1,30.0863,1,nan,nan,17179
dense_city,Bezier,21,0,1,153.159,147.255,1.0401,0.54094,0.0567,0.0628,1.3259,1.542,2.789,9.6229,8,1,30.2032,1,nan,nan,30642
dense_city,BSpline,21,0,1,152.187,147.255,1.0335,0.19656,0.0416,0.0567,1.0806,1.542,2.868,8.6329,9,1,29.5565,1,nan,nan,12167
dense_city,Dubins,21,0,1,154.819,147.255,1.0514,0.743,0.0654,0.0584,1.5387,1.542,2.874,9.0455,6,1,29.351,1,nan,nan,42345
dense_city,APF,22,0,0,15.4,151.355,0.1017,0.01932,0.0115,0.0494,0.548,1.517,2.153,0.7606,1,1,2.8507,0,nan,nan,69
dense_city,RRT*,22,0,1,161.974,151.355,1.0702,0.84408,0.0911,0.0353,0.944,1.501,3.505,5.7216,5,1,26.3112,0,nan,nan,49113
dense_city,RRT*+Bezier,22,0,1,161.974,151.355,1.0702,0.84758,0.0911,0.0353,0.944,1.501,3.505,5.7216,5,1,26.3112,0,nan,nan,49146
dense_city,Hybrid,22,0,1,153.288,151.355,1.0128,1.38467,0.0691,0.0566,1.2721,1.517,2.702,8.6791,8,1,28.575,1,nan,nan,84461
dense_city,Modified,22,0,1,154.397,151.355,1.0201,7.82929,0.0592,0.0663,1.4091,1.517,2.703,10.2368,8,1,29.986,1,nan,nan,445072
dense_city,Adaptive,22,0,1,194.203,151.355,1.2831,1.01338,0.0939,0.0699,1.3397,1.517,2.735,13.5739,12,1,39.8329,1,nan,nan,58638
dense_city,Bezier,22,0,1,162.444,151.355,1.0733,1.30227,0.0459,0.0462,2.1359,1.517,2.771,7.5029,6,1,28.389,1,nan,nan,74665
dense_city,BSpline,22,0,1,156.585,151.355,1.0346,2.67774,0.0585,0.0622,1.0886,1.517,2.761,9.7357,7,1,30.7959,1,nan,nan,149052
dense_city,Dubins,22,0,1,150.589,151.355,0.9949,11.1809,0.0549,0.0527,1.4237,1.517,2.898,7.9316,5,1,26.7936,1,nan,nan,628383
dense_city,APF,23,0,0,2.8,147.841,0.0189,0.01198,0.1368,0.4606,0.3907,2.306,2.606,1.2896,2,0,1.0033,0,nan,nan,14
dense_city,RRT*,23,0,1,159.289,147.841,1.0774,1.03316,0.1334,0.05,1.3378,2.128,3.081,7.9632,6,1,28.1593,0,nan,nan,59034
dense_city,RRT*+Bezier,23,0,1,159.289,147.841,1.0774,1.05159,0.1334,0.05,1.3378,2.128,3.081,7.9632,6,1,28.1593,0,nan,nan,59049
dense_city,Hybrid,23,0,1,162.018,147.841,1.0959,5.15713,0.212,0.0986,2.3842,1.568,2.654,15.9829,15,1,36.3206,1,nan,nan,281858
dense_city,Modified,23,0,1,157.416,147.841,1.0648,1.71069,0.1613,0.0741,1.5618,1.604,2.668,11.6583,13,1,32.63,1,nan,nan,95563
dense_city,Adaptive,23,0,1,146.966,147.841,0.9941,16.41938,0.1764,0.0867,1.3886,1.766,2.596,12.7469,13,1,32.0023,1,nan,nan,920055
dense_city,Bezier,23,0,1,149.61,147.841,1.012,3.28597,0.1674,0.0844,1.5624,1.865,2.766,12.6233,12,1,31.8662,1,nan,nan,182299
dense_city,BSpline,23,0,1,189.688,147.841,1.2831,2.44302,0.1524,0.0707,1.3812,1.756,2.776,13.4052,13,1,38.0333,1,nan,nan,117244
dense_city,Dubins,23,0,1,155.072,147.841,1.0489,0.64304,0.1425,0.0606,1.0816,1.623,2.833,9.3982,9,1,28.5091,1,nan,nan,39286
dense_city,APF,24,0,0,15.4,147.255,0.1046,0.01329,0.0115,0.0494,0.548,1.517,2.153,0.7606,1,1,2.8507,0,nan,nan,69
dense_city,RRT*,24,0,1,158.765,147.255,1.0782,0.84002,0.0907,0.0341,0.6607,1.516,3.546,5.4113,6,1,26.2531,0,nan,nan,51718
dense_city,RRT*+Bezier,24,0,1,158.765,147.255,1.0782,0.85367,0.0907,0.0341,0.6607,1.516,3.546,5.4113,6,1,26.2531,0,nan,nan,51751
dense_city,Hybrid,24,0,1,153.737,147.255,1.044,1.8823,0.0799,0.0637,1.2725,1.517,3.208,9.7905,11,1,30.3957,1,nan,nan,105353
dense_city,Modified,24,0,1,149.609,147.255,1.016,0.35795,0.0704,0.0768,1.4492,1.517,2.764,11.4952,11,1,31.3096,1,nan,nan,22258
dense_city,Adaptive,24,0,1,150.665,147.255,1.0232,1.07007,0.0684,0.0584,1.1306,1.517,3.172,8.8062,7,1,29.3312,1,nan,nan,64817
