scenario,algorithm,instance,repeat,success,path_length,astar_length,length_ratio,comp_time,smoothness,curvature,max_curvature,clearance_min,clearance_mean,total_turning,sharp_turns,radius_violated,drive_time_curved,switches,false_alarm,time_to_detection,collision_checks,planner,parameter,value
dense_city,APF,18,0,0,15.4,150.184,0.1025,0.00981,0.0115,0.0494,0.548,1.517,2.153,0.7605,1,1,2.8505,0,,,69,APF,apf_rho0,3.0
dense_city,APF,19,0,0,2800.0,150.184,18.6438,0.29691,0.9782,4.3889,10.472,1.62,2.344,12288.9032,3944,1,1720.0856,0,,,12000,APF,apf_rho0,3.0
normal_city,APF,0,0,0,7.0,139.64,0.0501,0.00808,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,0.0,,33,APF,apf_rho0,2.0
normal_city,APF,1,0,0,7.0,143.154,0.0489,0.00846,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,0.0,,33,APF,apf_rho0,2.0
normal_city,APF,2,0,0,7.0,143.154,0.0489,0.00745,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,0.0,,33,APF,apf_rho0,2.0
normal_city,APF,3,0,0,9.1,140.811,0.0646,0.01126,0.0428,0.1771,0.4182,1.571,2.558,1.6118,3,1,2.938,0,0.0,,41,APF,apf_rho0,2.0
normal_city,APF,4,0,0,7.0,141.983,0.0493,0.00987,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,0.0,,33,APF,apf_rho0,2.0
normal_city,APF,5,0,0,7.0,141.397,0.0495,0.00848,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,0.0,,33,APF,apf_rho0,2.0
normal_city,APF,6,0,0,7.0,143.154,0.0489,0.00854,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,0.0,,33,APF,apf_rho0,2.0
normal_city,APF,7,0,0,7.0,141.983,0.0493,0.01093,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,0.0,,33,APF,apf_rho0,2.0
normal_city,APF,8,0,0,7.0,141.397,0.0495,0.01271,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,0.0,,33,APF,apf_rho0,2.0
normal_city,APF,9,0,0,7.0,140.811,0.0497,0.01034,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,0.0,,33,APF,apf_rho0,2.0
normal_city,APF,10,0,0,7.0,141.983,0.0493,0.01203,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,0.0,,33,APF,apf_rho0,2.0
normal_city,APF,11,0,0,7.0,140.811,0.0497,0.0086,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,0.0,,33,APF,apf_rho0,2.0
normal_city,APF,12,0,0,7.0,140.811,0.0497,0.01098,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,0.0,,33,APF,apf_rho0,2.0
normal_city,APF,13,0,0,7.0,141.983,0.0493,0.01084,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,0.0,,33,APF,apf_rho0,2.0
normal_city,APF,14,0,0,7.0,140.811,0.0497,0.0115,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,0.0,,33,APF,apf_rho0,2.0
normal_city,APF,15,0,0,7.0,140.811,0.0497,0.00914,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,0.0,,33,APF,apf_rho0,2.0
normal_city,APF,16,0,0,7.0,140.811,0.0497,0.01111,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,0.0,,33,APF,apf_rho0,2.0
normal_city,APF,17,0,0,7.0,142.569,0.0491,0.00817,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,0.0,,33,APF,apf_rho0,2.0
normal_city,APF,18,0,0,7.0,141.397,0.0495,0.01226,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,0.0,,33,APF,apf_rho0,2.0
normal_city,APF,19,0,0,7.0,140.811,0.0497,0.01114,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,0.0,,33,APF,apf_rho0,2.0
blocked_road,APF,0,0,0,7.0,150.77,0.0464,0.00704,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,,,33,APF,apf_rho0,2.0
blocked_road,APF,1,0,0,7.0,147.255,0.0475,0.00985,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,,,33,APF,apf_rho0,2.0
blocked_road,APF,2,0,0,7.0,149.012,0.047,0.00647,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,,,33,APF,apf_rho0,2.0
blocked_road,APF,3,0,0,7.0,147.841,0.0473,0.00939,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,,,33,APF,apf_rho0,2.0
blocked_road,APF,4,0,0,7.0,148.255,0.0472,0.00762,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,,,33,APF,apf_rho0,2.0
blocked_road,APF,5,0,0,7.0,148.426,0.0472,0.00617,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,,,33,APF,apf_rho0,2.0
blocked_road,APF,6,0,0,7.0,149.598,0.0468,0.00783,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,,,33,APF,apf_rho0,2.0
blocked_road,APF,7,0,0,7.0,149.012,0.047,0.00842,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,,,33,APF,apf_rho0,2.0
blocked_road,APF,8,0,0,7.0,148.426,0.0472,0.01264,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,,,33,APF,apf_rho0,2.0
blocked_road,APF,9,0,0,5.6,147.841,0.0379,0.01122,0.0447,0.1754,0.3008,2.3,3.427,0.9824,2,0,1.199,0,,,26,APF,apf_rho0,2.0
blocked_road,APF,10,0,0,7.0,149.012,0.047,0.00878,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,,,33,APF,apf_rho0,2.0
blocked_road,APF,11,0,0,7.0,147.841,0.0473,0.00672,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,,,33,APF,apf_rho0,2.0
blocked_road,APF,12,0,0,7.0,147.841,0.0473,0.00893,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,,,33,APF,apf_rho0,2.0
blocked_road,APF,13,0,0,7.0,149.012,0.047,0.00897,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,,,33,APF,apf_rho0,2.0
blocked_road,APF,14,0,0,7.0,147.841,0.0473,0.01035,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,,,33,APF,apf_rho0,2.0
blocked_road,APF,15,0,0,7.0,147.841,0.0473,0.00691,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,,,33,APF,apf_rho0,2.0
blocked_road,APF,16,0,0,7.0,149.598,0.0468,0.01096,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,,,33,APF,apf_rho0,2.0
blocked_road,APF,17,0,0,7.0,149.598,0.0468,0.00894,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,,,33,APF,apf_rho0,2.0
blocked_road,APF,18,0,0,7.0,148.426,0.0472,0.01051,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,,,33,APF,apf_rho0,2.0
blocked_road,APF,19,0,0,7.0,147.841,0.0473,0.00918,0.0191,0.0773,0.3356,1.593,4.444,0.5413,1,0,1.5994,0,,,33,APF,apf_rho0,2.0
dense_city,APF,0,0,0,4.2,145.497,0.0289,0.01325,0.0466,0.1742,0.336,1.626,2.8,0.7317,1,0,1.2255,0,,,21,APF,apf_rho0,2.0
dense_city,APF,1,0,0,4.2,148.426,0.0283,0.0096,0.0334,0.1248,0.3371,1.573,3.09,0.5242,1,0,1.2614,0,,,20,APF,apf_rho0,2.0
dense_city,APF,2,0,0,4.2,150.184,0.028,0.00926,0.0334,0.1248,0.3371,1.573,3.09,0.5242,1,0,1.2614,0,,,20,APF,apf_rho0,2.0
dense_city,APF,3,0,0,4.2,147.255,0.0285,0.0116,0.0334,0.1248,0.3371,1.573,3.09,0.5242,1,0,1.2614,0,,,20,APF,apf_rho0,2.0
dense_city,APF,4,0,0,4.2,146.669,0.0286,0.01201,0.0334,0.1248,0.3371,1.573,3.09,0.5242,1,0,1.2614,0,,,20,APF,apf_rho0,2.0
dense_city,APF,5,0,0,4.2,145.497,0.0289,0.01462,0.0334,0.1248,0.3371,1.573,3.09,0.5242,1,0,1.2614,0,,,20,APF,apf_rho0,2.0
dense_city,APF,6,0,0,4.2,147.255,0.0285,0.01244,0.0334,0.1248,0.3371,1.573,3.09,0.5242,1,0,1.2614,0,,,20,APF,apf_rho0,2.0
dense_city,APF,7,0,0,2.8,150.184,0.0186,0.01392,0.1014,0.3414,0.2924,2.257,2.546,0.9558,2,0,0.8501,0,,,14,APF,apf_rho0,2.0
dense_city,APF,8,0,0,4.2,151.841,0.0277,0.01183,0.0334,0.1248,0.3371,1.573,3.09,0.5242,1,0,1.2614,0,,,20,APF,apf_rho0,2.0
dense_city,APF,9,0,0,2.8,148.426,0.0189,0.01207,0.0549,0.1848,0.2966,1.733,2.492,0.5176,1,0,1.0391,0,,,15,APF,apf_rho0,2.0
dense_city,APF,10,0,0,4.2,145.497,0.0289,0.01283,0.0334,0.1248,0.3371,1.573,3.09,0.5242,1,0,1.2614,0,,,20,APF,apf_rho0,2.0
dense_city,APF,11,0,0,4.2,147.255,0.0285,0.01218,0.0334,0.1248,0.3371,1.573,3.09,0.5242,1,0,1.2614,0,,,20,APF,apf_rho0,2.0
dense_city,APF,12,0,0,4.2,151.841,0.0277,0.01183,0.0334,0.1248,0.3371,1.573,3.09,0.5242,1,0,1.2614,0,,,20,APF,apf_rho0,2.0
dense_city,APF,13,0,0,4.2,145.497,0.0289,0.01306,0.0334,0.1248,0.3371,1.573,3.09,0.5242,1,0,1.2614,0,,,20,APF,apf_rho0,2.0
dense_city,APF,14,0,0,4.2,145.497,0.0289,0.01263,0.0334,0.1248,0.3371,1.573,3.09,0.5242,1,0,1.2614,0,,,20,APF,apf_rho0,2.0
dense_city,APF,15,0,0,4.2,145.497,0.0289,0.01286,0.0334,0.1248,0.3371,1.573,3.09,0.5242,1,0,1.2614,0,,,20,APF,apf_rho0,2.0
dense_city,APF,16,0,0,4.2,148.426,0.0283,0.01164,0.0334,0.1248,0.3371,1.573,3.09,0.5242,1,0,1.2614,0,,,20,APF,apf_rho0,2.0
dense_city,APF,17,0,0,4.2,144.912,0.029,0.01184,0.0334,0.1248,0.3371,1.573,3.09,0.5242,1,0,1.2614,0,,,20,APF,apf_rho0,2.0
dense_city,APF,18,0,0,4.2,150.184,0.028,0.01146,0.0334,0.1248,0.3371,1.573,3.09,0.5242,1,0,1.2614,0,,,20,APF,apf_rho0,2.0
dense_city,APF,19,0,0,4.2,150.184,0.028,0.00841,0.0334,0.1248,0.3371,1.573,3.09,0.5242,1,0,1.2614,0,,,20,APF,apf_rho0,2.0
