scenario,algorithm,instance,success,path_length,length_ratio,curvature,max_curvature,drive_time_curved,comp_time,parameter,value
normal_city,APF,13,1,178.5,1.2433,1.0632,2.0311,72.7401,0.03758,goal,0
normal_city,RRT*,13,1,141.98,0.9889,0.0593,1.2335,27.5204,0.25467,goal,0
normal_city,RRT*+Bezier,13,1,141.98,0.9889,0.0593,1.2335,27.5204,0.26171,goal,0
normal_city,Hybrid,13,1,168.023,1.1703,0.691,1.6685,57.077,0.26942,goal,0
normal_city,Modified,13,1,153.249,1.0674,0.3798,1.8213,43.5522,0.17518,goal,0
normal_city,APF,14,1,173.6,1.2141,1.0443,2.441,71.3547,0.0432,goal,0
normal_city,RRT*,14,1,149.209,1.0435,0.0474,1.1663,26.7083,0.39287,goal,0
normal_city,RRT*+Bezier,14,1,149.209,1.0435,0.0474,1.1663,26.7083,0.41054,goal,0
normal_city,Hybrid,14,1,161.566,1.13,0.6938,1.6685,55.5961,0.10738,goal,0
normal_city,Modified,14,1,154.107,1.0778,0.4723,1.9996,47.9109,0.15388,goal,0
normal_city,APF,15,1,176.4,1.2287,1.1136,2.3345,76.8451,0.03768,goal,0
normal_city,RRT*,15,1,148.673,1.0356,0.0389,1.2205,25.0762,0.4531,goal,0
normal_city,RRT*+Bezier,15,1,148.673,1.0356,0.0389,1.2205,25.0762,0.45543,goal,0
normal_city,Hybrid,15,1,163.289,1.1374,0.7457,1.5003,57.3902,0.37011,goal,0
normal_city,Modified,15,1,154.423,1.0756,0.4696,2.275,48.7662,0.16755,goal,0
normal_city,APF,16,1,170.1,1.1995,1.0041,2.2362,68.8435,0.03744,goal,0
normal_city,RRT*,16,1,153.92,1.0854,0.0403,1.5426,26.3784,0.30144,goal,0
normal_city,RRT*+Bezier,16,1,153.92,1.0854,0.0403,1.5426,26.3784,0.31867,goal,0
normal_city,Hybrid,16,1,156.089,1.1007,0.6352,1.497,54.019,0.0604,goal,0
normal_city,Modified,16,1,149.943,1.0573,0.3776,2.4564,45.6657,0.16452,goal,0
normal_city,APF,17,0,7.7,0.0539,0.1011,0.6641,1.9207,0.00894,goal,0
normal_city,RRT*,17,1,151.173,1.0573,0.0521,1.2529,27.8439,0.62482,goal,0
normal_city,RRT*+Bezier,17,1,151.173,1.0573,0.0521,1.2529,27.8439,0.65652,goal,0
normal_city,Hybrid,17,1,147.924,1.0346,0.0667,1.4228,29.8431,0.50001,goal,0
normal_city,Modified,17,1,153.556,1.0739,0.0925,2.3225,34.3986,0.2932,goal,0
normal_city,APF,18,1,168.0,1.1945,0.9964,2.0913,70.772,0.03426,goal,0
normal_city,RRT*,18,1,146.652,1.0427,0.0465,1.2491,26.1031,0.44581,goal,0
normal_city,RRT*+Bezier,18,1,146.652,1.0427,0.0465,1.2491,26.1031,0.46804,goal,0
normal_city,Hybrid,18,1,155.557,1.1061,0.6407,1.4795,50.4028,0.57575,goal,0
normal_city,Modified,18,1,147.435,1.0483,0.3508,1.7814,40.7229,0.15652,goal,0
normal_city,APF,19,0,2800.0,19.4236,3.2757,6.5118,2056.6365,0.50327,goal,0
