scenario,algorithm,instance,repeat,success,path_length,astar_length,length_ratio,comp_time,smoothness,curvature,max_curvature,clearance_min,clearance_mean,total_turning,sharp_turns,radius_violated,drive_time_curved,switches,false_alarm,time_to_detection,collision_checks
normal_city,Modified,0,1,1,156.688,140.811,1.1128,0.16524,0.083,0.581,3.2896,1.759,2.952,91.037,49,1,48.8023,0,0,nan,1549
normal_city,Modified,0,2,1,156.688,140.811,1.1128,0.16846,0.083,0.581,3.2896,1.759,2.952,91.037,49,1,48.8023,0,0,nan,1549
normal_city,Modified,0,3,1,156.688,140.811,1.1128,0.16652,0.083,0.581,3.2896,1.759,2.952,91.037,49,1,48.8023,0,0,nan,1549
normal_city,Modified,0,4,1,156.688,140.811,1.1128,0.16557,0.083,0.581,3.2896,1.759,2.952,91.037,49,1,48.8023,0,0,nan,1549
normal_city,Modified,0,5,1,156.688,140.811,1.1128,0.16595,0.083,0.581,3.2896,1.759,2.952,91.037,49,1,48.8023,0,0,nan,1549
normal_city,Modified,0,6,1,156.688,140.811,1.1128,0.16492,0.083,0.581,3.2896,1.759,2.952,91.037,49,1,48.8023,0,0,nan,1549
normal_city,Modified,0,7,1,156.688,140.811,1.1128,0.17339,0.083,0.581,3.2896,1.759,2.952,91.037,49,1,48.8023,0,0,nan,1549
normal_city,Modified,0,8,1,156.688,140.811,1.1128,0.16747,0.083,0.581,3.2896,1.759,2.952,91.037,49,1,48.8023,0,0,nan,1549
normal_city,Modified,0,9,1,156.688,140.811,1.1128,0.16582,0.083,0.581,3.2896,1.759,2.952,91.037,49,1,48.8023,0,0,nan,1549
normal_city,Adaptive,0,0,1,177.1,140.811,1.2577,0.06207,0.247,1.104,3.4849,1.759,2.956,195.5258,120,1,72.8233,0,0,nan,759
normal_city,Adaptive,0,1,1,177.1,140.811,1.2577,0.05667,0.247,1.104,3.4849,1.759,2.956,195.5258,120,1,72.8233,0,0,nan,759
normal_city,Adaptive,0,2,1,177.1,140.811,1.2577,0.05774,0.247,1.104,3.4849,1.759,2.956,195.5258,120,1,72.8233,0,0,nan,759
normal_city,Adaptive,0,3,1,177.1,140.811,1.2577,0.05757,0.247,1.104,3.4849,1.759,2.956,195.5258,120,1,72.8233,0,0,nan,759
normal_city,Adaptive,0,4,1,177.1,140.811,1.2577,0.05764,0.247,1.104,3.4849,1.759,2.956,195.5258,120,1,72.8233,0,0,nan,759
normal_city,Adaptive,0,5,1,177.1,140.811,1.2577,0.05722,0.247,1.104,3.4849,1.759,2.956,195.5258,120,1,72.8233,0,0,nan,759
normal_city,Adaptive,0,6,1,177.1,140.811,1.2577,0.05783,0.247,1.104,3.4849,1.759,2.956,195.5258,120,1,72.8233,0,0,nan,759
