instance,speed_factor,driver,success,reached,collided,steps,replans,comp_time,collision_checks,path_length
5,1.0,APF reactive,1,1,0,122,0,0.01499,366,85.4
5,1.0,RRT* plan once,0,0,1,44,0,0.06433,9096,30.8
5,1.0,RRT* replan,0,0,1,101,19,0.84465,101658,70.7
5,1.0,Modified plan once,0,0,1,44,0,0.01927,415,30.8
5,1.0,Modified replan,0,0,1,51,10,0.96971,72169,35.7
5,1.5,APF reactive,0,0,1,58,0,0.00796,174,40.6
5,1.5,RRT* plan once,0,0,1,59,0,0.06343,9096,41.3
5,1.5,RRT* replan,0,0,1,79,9,0.63622,66843,55.3
5,1.5,Modified plan once,0,0,1,58,0,0.01921,415,40.6
5,1.5,Modified replan,0,0,1,75,11,0.90525,61443,52.5
6,0.5,APF reactive,0,0,0,1500,0,0.22235,4500,1050.0
6,0.5,RRT* plan once,1,1,0,116,0,0.04953,7126,81.2
6,0.5,RRT* replan,1,1,0,120,1,0.07753,11224,84.0
6,0.5,Modified plan once,1,1,0,120,0,0.03744,1002,84.0
6,0.5,Modified replan,1,1,0,120,1,0.04646,1183,84.0
6,1.0,APF reactive,0,0,0,1500,0,0.22224,4500,1050.0
6,1.0,RRT* plan once,0,0,1,46,0,0.04842,7126,32.2
6,1.0,RRT* replan,0,1,1,124,20,0.76927,108385,86.8
6,1.0,Modified plan once,0,0,1,61,0,0.03913,1002,42.7
6,1.0,Modified replan,0,1,1,120,19,0.8175,56925,84.0
6,1.5,APF reactive,0,0,0,1500,0,0.22258,4500,1050.0
6,1.5,RRT* plan once,0,0,1,65,0,0.04997,7126,45.5
6,1.5,RRT* replan,0,1,1,129,17,0.73166,103826,90.3
6,1.5,Modified plan once,0,0,1,65,0,0.03689,1002,45.5
6,1.5,Modified replan,0,0,1,52,5,0.7699,53686,36.4
7,0.5,APF reactive,1,1,0,115,0,0.01339,345,80.5
7,0.5,RRT* plan once,0,0,1,64,0,0.0386,5469,44.8
7,0.5,RRT* replan,0,1,1,130,18,0.64689,92975,91.0
7,0.5,Modified plan once,0,0,1,67,0,0.01309,342,46.9
7,0.5,Modified replan,0,1,1,114,3,0.03385,822,79.8
7,1.0,APF reactive,1,1,0,128,0,0.01457,384,89.6
7,1.0,RRT* plan once,0,0,1,61,0,0.03783,5469,42.7
7,1.0,RRT* replan,0,1,1,149,28,1.04709,148008,104.3
7,1.0,Modified plan once,0,0,1,60,0,0.01309,342,42.0
7,1.0,Modified replan,0,0,1,64,8,0.82103,57929,44.8
7,1.5,APF reactive,1,1,0,114,0,0.0131,342,79.8
7,1.5,RRT* plan once,0,0,1,75,0,0.03834,5469,52.5
7,1.5,RRT* replan,1,1,0,126,5,0.20836,30682,88.2
7,1.5,Modified plan once,1,1,0,114,0,0.01293,342,79.8
7,1.5,Modified replan,1,1,0,114,6,0.09033,3315,79.8
8,0.5,APF reactive,1,1,0,114,0,0.01285,342,79.8
8,0.5,RRT* plan once,1,1,0,121,0,0.05987,8797,84.7
8,0.5,RRT* replan,1,1,0,135,1,0.09484,13174,94.5
8,0.5,Modified plan once,1,1,0,114,0,0.01309,342,79.8
8,0.5,Modified replan,1,1,0,114,3,0.08399,3985,79.8
8,1.0,APF reactive,1,1,0,121,0,0.01355,363,84.7
8,1.0,RRT* plan once,0,0,1,50,0,0.06018,8797,35.0
8,1.0,RRT* replan,0,1,1,120,7,0.33364,47793,84.0
8,1.0,Modified plan once,0,0,1,49,0,0.01332,342,34.3
8,1.0,Modified replan,0,1,1,115,20,0.19509,4245,80.5
8,1.5,APF reactive,1,1,0,117,0,0.01364,351,81.9
8,1.5,RRT* plan once,0,0,1,69,0,0.06011,8797,48.3
8,1.5,RRT* replan,0,0,1,74,10,0.75313,85136,51.8
8,1.5,Modified plan once,0,0,1,68,0,0.01302,342,47.6
8,1.5,Modified replan,0,1,1,114,7,0.07601,1760,79.8
9,0.5,APF reactive,1,1,0,114,0,0.01343,342,79.8
9,0.5,RRT* plan once,1,1,0,120,0,0.03563,5254,84.0
9,0.5,RRT* replan,1,1,0,121,0,0.03694,5424,84.7
9,0.5,Modified plan once,1,1,0,114,0,0.01332,342,79.8
9,0.5,Modified replan,1,1,0,114,1,0.02902,637,79.8
9,1.0,APF reactive,1,1,0,117,0,0.01483,351,81.9
9,1.0,RRT* plan once,0,0,1,69,0,0.03612,5254,48.3
9,1.0,RRT* replan,0,0,1,80,12,0.74922,85552,56.0
9,1.0,Modified plan once,0,0,1,67,0,0.01325,342,46.9
9,1.0,Modified replan,0,1,1,115,10,0.13057,2969,80.5
9,1.5,APF reactive,0,0,1,49,0,0.00643,147,34.3
9,1.5,RRT* plan once,0,0,1,49,0,0.03687,5254,34.3
9,1.5,RRT* replan,1,1,0,141,7,0.25361,37271,98.7
9,1.5,Modified plan once,0,0,1,49,0,0.01327,342,34.3
9,1.5,Modified replan,0,0,1,50,5,0.83939,52332,35.0
10,0.5,APF reactive,1,1,0,115,0,0.01322,345,80.5
10,0.5,RRT* plan once,1,1,0,123,0,0.04645,6639,86.1
10,0.5,RRT* replan,1,1,0,122,4,0.18836,27834,85.4
10,0.5,Modified plan once,0,0,1,60,0,0.01281,342,42.0
10,0.5,Modified replan,1,1,0,115,5,0.08492,2477,80.5
10,1.0,APF reactive,1,1,0,115,0,0.01311,345,80.5
10,1.0,RRT* plan once,1,1,0,123,0,0.04662,6639,86.1
10,1.0,RRT* replan,0,1,1,164,20,0.79406,115206,114.8
10,1.0,Modified plan once,1,1,0,114,0,0.01337,342,79.8
10,1.0,Modified replan,0,0,1,71,7,0.81858,51191,49.7
10,1.5,APF reactive,1,1,0,117,0,0.01337,351,81.9
10,1.5,RRT* plan once,1,1,0,123,0,0.04599,6639,86.1
10,1.5,RRT* replan,1,1,0,122,4,0.19393,28911,85.4
10,1.5,Modified plan once,0,0,1,58,0,0.01287,342,40.6
10,1.5,Modified replan,0,1,1,115,5,0.08957,2682,80.5
11,0.5,APF reactive,0,0,1,49,0,0.00643,147,34.3
11,0.5,RRT* plan once,1,1,0,125,0,0.05644,8130,87.5
11,0.5,RRT* replan,1,1,0,118,0,0.03802,5829,82.6
11,0.5,Modified plan once,0,0,1,48,0,0.01311,342,33.6
11,0.5,Modified replan,0,0,1,50,5,0.79075,55366,35.0
11,1.0,APF reactive,1,1,0,118,0,0.01423,354,82.6
11,1.0,RRT* plan once,1,1,0,125,0,0.05841,8130,87.5
11,1.0,RRT* replan,1,1,0,120,1,0.06247,9502,84.0
11,1.0,Modified plan once,0,0,1,62,0,0.0132,342,43.4
11,1.0,Modified replan,0,1,1,115,6,0.07365,1655,80.5
11,1.5,APF reactive,0,0,1,72,0,0.00886,216,50.4
11,1.5,RRT* plan once,0,0,1,62,0,0.05633,8130,43.4
11,1.5,RRT* replan,0,0,1,74,8,0.56431,54037,51.8
11,1.5,Modified plan once,0,0,1,70,0,0.01322,342,49.0
11,1.5,Modified replan,0,0,1,72,9,0.75752,56324,50.4
12,0.5,APF reactive,1,1,0,116,0,0.01399,348,81.2
12,0.5,RRT* plan once,0,0,1,61,0,0.03728,5502,42.7
12,0.5,RRT* replan,1,1,0,118,0,0.04304,6419,82.6
12,0.5,Modified plan once,1,1,0,115,0,0.01907,418,80.5
12,0.5,Modified replan,1,1,0,115,0,0.01897,418,80.5
12,1.0,APF reactive,1,1,0,117,0,0.01402,351,81.9
12,1.0,RRT* plan once,0,0,1,59,0,0.03783,5502,41.3
12,1.0,RRT* replan,1,1,0,129,5,0.25394,36921,90.3
12,1.0,Modified plan once,1,1,0,115,0,0.01904,418,80.5
12,1.0,Modified replan,0,0,1,75,7,0.82609,48462,52.5
12,1.5,APF reactive,0,0,1,52,0,0.00728,156,36.4
12,1.5,RRT* plan once,0,0,1,62,0,0.03772,5502,43.4
12,1.5,RRT* replan,0,1,1,151,10,0.51093,73033,105.7
12,1.5,Modified plan once,0,0,1,49,0,0.0189,418,34.3
12,1.5,Modified replan,0,0,1,50,4,0.68388,42570,35.0
13,0.5,APF reactive,0,0,0,1500,0,0.21699,4500,1050.0
13,0.5,RRT* plan once,0,0,1,54,0,0.06122,8363,37.8
13,0.5,RRT* replan,1,1,0,118,0,0.03341,4895,82.6
13,0.5,Modified plan once,0,0,1,66,0,0.04006,1589,46.2
13,0.5,Modified replan,0,1,1,118,12,0.15942,3552,82.6
13,1.0,APF reactive,0,0,0,1500,0,0.21671,4500,1050.0
13,1.0,RRT* plan once,0,0,1,73,0,0.06057,8363,51.1
13,1.0,RRT* replan,1,1,0,143,4,0.18268,27104,100.1
13,1.0,Modified plan once,0,0,1,73,0,0.04017,1589,51.1
